Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status,Metafield: custom.medium [single_line_text_field],Metafield: custom.edition [single_line_text_field],Metafield: custom.badge [single_line_text_field],Metafield: custom.artist_quote [single_line_text_field],Metafield: custom.specifications [multi_line_text_field],Metafield: custom.medium_care [multi_line_text_field]
echoes-of-earth,Echoes Of Earth,"<p><em>Alcohol Ink on Yupo Paper · 36 × 48 inches · 2024</em></p><p>Painted during the first rains of the 2024 season. The ink moved the way the sky felt: unrushed and inevitable. Rashmi worked on this piece across three consecutive mornings, letting the composition evolve without interference. The soft bloom of indigo at the lower third was entirely unplanned.</p>",Rhytara,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Original Painting,"Rhytara, Alcohol Ink on Yupo Paper, Year 2024, Original Work, One of One, Painting",TRUE,Title,Default Title,,,,,RHY-EOE-2024,800,shopify,1,deny,manual,85000,,TRUE,TRUE,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/echoes-of-earth-01.jpg,1,"Echoes Of Earth, full view",FALSE,Echoes Of Earth - Rhytara,"Painted during the first rains of the 2024 season. The ink moved the way the sky felt: unrushed and inevitable. Rashmi worked on this piece across three consecutive mornings, letting the composition evolve without interference. The soft bloom of indigo at the lower third was entirely unplanned.",kg,active,Alcohol Ink on Yupo Paper · 36 × 48 inches · 2024,Original · 1 of 1 · Certificate Included,New Work · 2024,"""I put the paper down and the rain did the rest.""","Dimensions: 36 × 48 inches (91 × 122 cm)
Year: 2024
Edition: Original · 1 of 1
Signature: Signed verso by the artist
Framed size: 40 × 52 inches (adds 2″ border)
Weight (unframed): Approx. 0.8 kg","Medium: Alcohol Ink on Yupo Paper
Support: Yupo Synthetic Paper (acid-free)
Finish: UV-protective varnish applied
Light exposure: Avoid direct sunlight
Cleaning: Dry dusting only. Do not wet clean.
Longevity: 100+ years with proper care"
echoes-of-earth,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/echoes-of-earth-02.jpg,2,"Detail, upper bloom",,,,,,,,,,,
echoes-of-earth,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/echoes-of-earth-03.jpg,3,Studio context,,,,,,,,,,,
echoes-of-earth,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/echoes-of-earth-04.jpg,4,Signature detail,,,,,,,,,,,
echoes-of-earth,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/echoes-of-earth-05.jpg,5,In situ,,,,,,,,,,,
grounding-nature,Grounding Nature,"<p><em>Abstract Acrylic on Canvas · 24 × 36 inches · 2023</em></p><p>A meditation on stillness. Deep crimson layered with raw umber and zinc white, scraped and rebuilt over three weeks. There is a particular red that appears only in solitude, when the noise falls away and all that remains is the raw truth of the moment.</p>",Rhytara,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Original Painting,"Rhytara, Abstract Acrylic on Canvas, Year 2023, Original Work, One of One, Painting",TRUE,Title,Default Title,,,,,RHY-GN-2023,1200,shopify,1,deny,manual,65000,,TRUE,TRUE,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/grounding-nature-01.jpg,1,"Grounding Nature, full view",FALSE,Grounding Nature - Rhytara,"A meditation on stillness. Deep crimson layered with raw umber and zinc white, scraped and rebuilt over three weeks. There is a particular red that appears only in solitude, when the noise falls away and all that remains is the raw truth of the moment.",kg,active,Abstract Acrylic on Canvas · 24 × 36 inches · 2023,Original · 1 of 1 · Certificate Included,Available · 2023,"""There is a particular red that appears only in solitude.""","Dimensions: 24 × 36 inches (61 × 91 cm)
Year: 2023
Edition: Original · 1 of 1
Signature: Signed verso by the artist
Framed size: 28 × 40 inches (adds 2″ border)
Weight (unframed): Approx. 1.2 kg","Medium: Abstract Acrylic on Canvas
Support: Gallery-wrapped linen canvas
Finish: Satin UV varnish
Light exposure: Moderate indirect light acceptable
Cleaning: Dry dusting only
Longevity: 100+ years with proper care"
grounding-nature,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/grounding-nature-02.jpg,2,Texture detail,,,,,,,,,,,
grounding-nature,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/grounding-nature-03.jpg,3,Side profile,,,,,,,,,,,
grounding-nature,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/grounding-nature-04.jpg,4,In situ,,,,,,,,,,,
magical-pansies,Magical Pansies,"<p><em>Mixed Media on Canvas · 30 × 40 inches · 2024</em></p><p>Earth tones layered with gold leaf and graphite. The ochres of Rajasthan, layered over decades of memory, compressed into paint. Commission a similar work or inquire about prints.</p>",Rhytara,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Original Painting,"Rhytara, Mixed Media, Year 2024, Original Work, One of One, Painting, Sold",TRUE,Title,Default Title,,,,,RHY-MP-2024,,shopify,0,deny,manual,72000,,TRUE,TRUE,,https://raw.githubusercontent.com/aashaythakkar2018/Rashmirao/main/assets/images/collection/magical-pansies-01.jpg,1,"Magical Pansies, full view",FALSE,Magical Pansies - Rhytara,"Earth tones layered with gold leaf and graphite. The ochres of Rajasthan, layered over decades of memory, compressed into paint. Commission a similar work or inquire about prints.",kg,active,Mixed Media on Canvas · 30 × 40 inches · 2024,Original · 1 of 1 · Commission Similar Available,Sold · 2024,"""Some works paint themselves.""","Dimensions: 30 × 40 inches (76 × 102 cm)
Year: 2024
Edition: Original · 1 of 1 · Sold
Signature: Signed verso by the artist
Provenance: Private collection, Mumbai","Medium: Mixed Media: Acrylic, Gold Leaf, Graphite
Support: Gallery-wrapped linen canvas
Finish: Matte protective varnish
Light exposure: Moderate indirect light acceptable
Cleaning: Dry dusting only
Longevity: 100+ years with proper care"
